name,photo
A. P. J. Abdul Kalam,
Abdul Ghaffar Khan,https://upload.wikimedia.org/wikipedia/commons/6/6a/Khan_Abdul_Ghaffar_Khan.jpg
Amartya Sen,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Amartya_Sen_2012.jpg/500px-Amartya_Sen_2012.jpg
Aryabhata,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/2064_aryabhata-crp.jpg/500px-2064_aryabhata-crp.jpg
Bhagat Singh,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Bhagat_Singh_1929.jpg/500px-Bhagat_Singh_1929.jpg
B. R. Ambedkar,
Chandra Shekhar Azad,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Chandrasekhar_Azad.jpg/500px-Chandrasekhar_Azad.jpg
Shivaji,
Dhirubhai Ambani,https://upload.wikimedia.org/wikipedia/commons/a/a2/Dhirubhai_Ambani_2002_stamp_of_India.jpg
Dnyaneshwar,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Dnyaneshwar2.jpg/500px-Dnyaneshwar2.jpg
Eknath,https://upload.wikimedia.org/wikipedia/commons/d/d3/Eknath_2003_stamp_of_India.jpg
Fazal ur Rahman,
Indira Gandhi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/IndiraGandhi.png/500px-IndiraGandhi.png
Mahatma Gandhi,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Mahatma-Gandhi%2C_studio%2C_1931.jpg/500px-Mahatma-Gandhi%2C_studio%2C_1931.jpg
Gauri Ma,https://upload.wikimedia.org/wikipedia/commons/4/42/Gauri_Ma.jpg
Gopal Krishna Gokhale,https://upload.wikimedia.org/wikipedia/commons/a/a5/GKGokhale.jpg
Hemu,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Hemu_Vikramaditya.jpg/500px-Hemu_Vikramaditya.jpg
Iqbal,
Jawaharlal Nehru,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Jnehru.jpg/500px-Jnehru.jpg
Jitendra Nath Das,
Jodha Bai,
Kailash Satyarthi,https://upload.wikimedia.org/wikipedia/commons/e/e9/Kailash_Satyarthi_March_2015.jpg
Kalpana Chawla,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Kalpana_Chawla%2C_NASA_photo_portrait_in_orange_suit.jpg/500px-Kalpana_Chawla%2C_NASA_photo_portrait_in_orange_suit.jpg
Karna,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Karna_in_Kurukshetra.jpg/500px-Karna_in_Kurukshetra.jpg
Kasturba Gandhi,https://upload.wikimedia.org/wikipedia/commons/8/8b/Kasturba.jpg
Lal Bahadur Shastri,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Lal_Bahadur_Shastri_%28from_stamp%29.jpg/500px-Lal_Bahadur_Shastri_%28from_stamp%29.jpg
Lalita Pawar,https://upload.wikimedia.org/wikipedia/commons/e/e5/Lalita_Pawar_%281916%E2%80%941998%29.jpg
Madhavrao I,
Madhavrao II,
Maharishi Mahesh Yogi,
Mangal Pandey,https://upload.wikimedia.org/wikipedia/commons/d/d1/Mangal_Pandey_1984_stamp_of_India.jpg
Mirabai,
Kublai Khan,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/YuanEmperorAlbumKhubilaiPortrait.jpg/500px-YuanEmperorAlbumKhubilaiPortrait.jpg
Morarji Desai,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Morarji_Desai_During_his_visit_to_the_United_States_of_America_.jpg/500px-Morarji_Desai_During_his_visit_to_the_United_States_of_America_.jpg
Nandini Satpathy,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Nanini_Satpathy.png/500px-Nanini_Satpathy.png
Motilal Nehru,https://upload.wikimedia.org/wikipedia/commons/6/67/MotilalNehru3.jpg
Subhas Chandra Bose,
Nita Ambani,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/2020-01-12_Medals_Ceremonies_%282020_Winter_Youth_Olympics%29_by_Sandro_Halank%E2%80%93177.jpg/500px-2020-01-12_Medals_Ceremonies_%282020_Winter_Youth_Olympics%29_by_Sandro_Halank%E2%80%93177.jpg
P. V. Narasimha Rao,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/P._V._Narasimha_Rao.JPG/500px-P._V._Narasimha_Rao.JPG
Pankaj Advani,
Rani of Jhansi,
Rajiv Gandhi,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Rajiv_Gandhi%2C_the_6th_PM_of_India.jpg/500px-Rajiv_Gandhi%2C_the_6th_PM_of_India.jpg
Ram Manohar Lohia,https://upload.wikimedia.org/wikipedia/commons/5/59/Ram_Manohar_Lohia_1977_stamp_of_India.jpg
Srinivasa Ramanujan,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Srinivasa_Ramanujan-Add._MS_a94_version2.jpg/500px-Srinivasa_Ramanujan-Add._MS_a94_version2.jpg
Ratan Tata,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/35._ISC-Symposium-Ratan_N._Tata_in_der_Pause-HSGN_028-01812.JPG/500px-35._ISC-Symposium-Ratan_N._Tata_in_der_Pause-HSGN_028-01812.JPG
Vallabhbhai Patel,
Satyajit Ray,https://upload.wikimedia.org/wikipedia/commons/d/dc/Satyajit_Ray_in_New_York_%28cropped%29.jpg
Vinayak Damodar Savarkar,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/V._D._Savarkar.jpg/500px-V._D._Savarkar.jpg
Shivaji,
Sitaram Yechury,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Sitaram_Yechury_in_Kolkata.jpg/500px-Sitaram_Yechury_in_Kolkata.jpg
Dayananda Saraswati,
Swami Vivekananda,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Swami_Vivekananda-1893-09-signed.jpg/500px-Swami_Vivekananda-1893-09-signed.jpg
Rabindranath Tagore,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Rabindranath_Tagore.jpg/500px-Rabindranath_Tagore.jpg
J. R. D. Tata,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/J.R.D._Tata_%281955%29.jpg/500px-J.R.D._Tata_%281955%29.jpg
Tukaram,https://upload.wikimedia.org/wikipedia/commons/8/8d/Tukaram_by_Raja_Ravi_Varma.jpg
Bismillah Khan,
Vikram Sarabhai,https://upload.wikimedia.org/wikipedia/commons/6/63/Vikram_Sarabhai.jpg
V. P. Singh,
Zakir Hussain,
Azim Premji,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Azim_H._Premji_World_Economic_Forum_2013.jpg/500px-Azim_H._Premji_World_Economic_Forum_2013.jpg
Baba Amte,https://upload.wikimedia.org/wikipedia/commons/8/8c/Baba_Amte_2014_stamp_of_India.jpg
Baba Ramdev,
Mahavira,
Chandra Shekhar,
Chinmayananda Saraswati,
E. Sreedharan,https://upload.wikimedia.org/wikipedia/commons/e/e3/E._Sreedharan_%22Metro_Man%22.jpg
Firuz Shah Tughlaq,
Hema Malini,https://upload.wikimedia.org/wikipedia/commons/3/39/Hema_Malini%27s_75th_birthday_celebration.jpg
Jayaprakash Narayan,https://upload.wikimedia.org/wikipedia/commons/3/3c/Jawaharlal_Nehru_with_Jayaprakash_Narayan_%28cropped%29.jpg
Mayawati,https://upload.wikimedia.org/wikipedia/commons/e/e6/Mayawati_in_2016.jpg
Lala Lajpat Rai,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Mahatma_Lala_Lajpat_Rai.jpg/500px-Mahatma_Lala_Lajpat_Rai.jpg
Patanjali,https://upload.wikimedia.org/wikipedia/commons/8/85/Pata%C3%B1jali11.JPG
M. Visvesvaraya,
Ravi Shankar,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Ravi_Shankar.jpg/500px-Ravi_Shankar.jpg
Rudyard Kipling,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Rudyard_Kipling_%28portrait%29.jpg/500px-Rudyard_Kipling_%28portrait%29.jpg
Shiv Nadar,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Shiv_Nadar.png/500px-Shiv_Nadar.png
Subramanian Swamy,https://upload.wikimedia.org/wikipedia/commons/9/97/Dr_Subramanian_Swamy_photo.jpeg
Vinayak Damodar Savarkar,
