name,photo
A. P. J. Abdul Kalam,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/A._P._J._Abdul_Kalam.jpg/500px-A._P._J._Abdul_Kalam.jpg
Akhbar,
Arjuna,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Arjuna_statue.JPG/500px-Arjuna_statue.JPG
Ashoka,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Ashoka%27s_visit_to_the_Ramagrama_stupa_Sanchi_Stupa_1_Southern_gateway.jpg/500px-Ashoka%27s_visit_to_the_Ramagrama_stupa_Sanchi_Stupa_1_Southern_gateway.jpg
Bhagat Singh,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Bhagat_Singh_1929.jpg/500px-Bhagat_Singh_1929.jpg
B. R. Ambedkar,
Chandragupta Maurya,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Chandragupt_maurya_Birla_mandir_6_dec_2009_%2831%29_%28cropped%29.JPG/500px-Chandragupt_maurya_Birla_mandir_6_dec_2009_%2831%29_%28cropped%29.JPG
Chandragupta II,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/ChandraguptaIIOnHorse.jpg/500px-ChandraguptaIIOnHorse.jpg
Geoffrey Chaucer,
Durga Das,
Mahatma Gandhi,
Guru Nanak,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Mural_painting_of_Guru_Nanak_from_Gurdwara_Baba_Atal_Rai.jpg/500px-Mural_painting_of_Guru_Nanak_from_Gurdwara_Baba_Atal_Rai.jpg
Hemu,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Hemu_Vikramaditya.jpg/500px-Hemu_Vikramaditya.jpg
Jawaharlal Nehru,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Jnehru.jpg/500px-Jnehru.jpg
Jodha Bai,
Julius Caesar,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Retrato_de_Julio_C%C3%A9sar_%2826724093101%29_%28cropped%29.jpg/500px-Retrato_de_Julio_C%C3%A9sar_%2826724093101%29_%28cropped%29.jpg
Kailash Satyarthi,https://upload.wikimedia.org/wikipedia/commons/e/e9/Kailash_Satyarthi_March_2015.jpg
Kalidasa,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Kalidasa_inditing_the_cloud_Messenger%2C_A.D._375.jpg/500px-Kalidasa_inditing_the_cloud_Messenger%2C_A.D._375.jpg
Karna,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Karna_in_Kurukshetra.jpg/500px-Karna_in_Kurukshetra.jpg
Lal Bahadur Shastri,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Lal_Bahadur_Shastri_%28from_stamp%29.jpg/500px-Lal_Bahadur_Shastri_%28from_stamp%29.jpg
Rani of Jhansi,
Mahatma Gandhi,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Mahatma-Gandhi%2C_studio%2C_1931.jpg/500px-Mahatma-Gandhi%2C_studio%2C_1931.jpg
Manu,
Mangal Pandey,https://upload.wikimedia.org/wikipedia/commons/d/d1/Mangal_Pandey_1984_stamp_of_India.jpg
Motilal Nehru,
Jawaharlal Nehru,
Subhas Chandra Bose,
P. V. Narasimha Rao,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/P._V._Narasimha_Rao.JPG/500px-P._V._Narasimha_Rao.JPG
Patel,
Rabindranath Tagore,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Rabindranath_Tagore.jpg/500px-Rabindranath_Tagore.jpg
Rani Durgavati,https://upload.wikimedia.org/wikipedia/commons/5/5a/Rani_Durgavati.jpg
Rani of Jhansi,
Ratan Tata,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/35._ISC-Symposium-Ratan_N._Tata_in_der_Pause-HSGN_028-01812.JPG/500px-35._ISC-Symposium-Ratan_N._Tata_in_der_Pause-HSGN_028-01812.JPG
Ravi Shankar,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Ravi_Shankar.jpg/500px-Ravi_Shankar.jpg
Vallabhbhai Patel,
Satyajit Ray,https://upload.wikimedia.org/wikipedia/commons/d/dc/Satyajit_Ray_in_New_York_%28cropped%29.jpg
Shivaji,
Subhas Chandra Bose,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Subhas_Chandra_Bose_NRB.jpg/500px-Subhas_Chandra_Bose_NRB.jpg
Dayananda Saraswati,
Swami Vivekananda,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Swami_Vivekananda-1893-09-signed.jpg/500px-Swami_Vivekananda-1893-09-signed.jpg
Tansen,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Tansen_of_Gwalior._%2811.8x6.7cm%29_Mughal._1585-90._National_Museum%2C_New_Delhi..jpg/500px-Tansen_of_Gwalior._%2811.8x6.7cm%29_Mughal._1585-90._National_Museum%2C_New_Delhi..jpg
Vikramaditya,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Vikramaditya_%28king%29.jpg/500px-Vikramaditya_%28king%29.jpg
Vikram Sarabhai,https://upload.wikimedia.org/wikipedia/commons/6/63/Vikram_Sarabhai.jpg
Vishnu Sharma,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Kelileh_va_Demneh.jpg/500px-Kelileh_va_Demneh.jpg
Swami Vivekananda,
Zakir Husain,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/President_Zakir_Husain_1998_stamp_of_India_%28cropped%29.jpg/500px-President_Zakir_Husain_1998_stamp_of_India_%28cropped%29.jpg
Satyendranath Tagore,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Satyendranath_Tagore.JPG/500px-Satyendranath_Tagore.JPG
Surya Sen,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Surya_Sen_before_1934.jpg/500px-Surya_Sen_before_1934.jpg
Sundar Pichai,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Sundar_Pichai_-_2023_%28cropped%29.jpg/500px-Sundar_Pichai_-_2023_%28cropped%29.jpg
P. Chidambaram,https://upload.wikimedia.org/wikipedia/commons/a/a9/P.Chidambaram_in_a_press_conference.jpg
Rajendra Prasad,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Rajendra_Prasad_%28Indian_President%29%2C_signed_image_for_Walter_Nash_%28NZ_Prime_Minister%29%2C_1958_%2816017609534%29.jpg/500px-Rajendra_Prasad_%28Indian_President%29%2C_signed_image_for_Walter_Nash_%28NZ_Prime_Minister%29%2C_1958_%2816017609534%29.jpg
Rajiv Gandhi,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Rajiv_Gandhi%2C_the_6th_PM_of_India.jpg/500px-Rajiv_Gandhi%2C_the_6th_PM_of_India.jpg
Rajkumar,
Ravi Shankar Prasad,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/The_Union_Minister_for_Electronics_%26_Information_Technology_and_Law_%26_Justice%2C_Shri_Ravi_Shankar_Prasad_briefing_the_media_on_the_importance_of_the_Global_Conference_on_Cyber_Space_%28GCCS_2017%29%2C_in_New_Delhi.jpg/500px-thumbnail.jpg
