Name,Image Path,Description
B. R. Ambedkar (1891–1956),images\100px-Ambedkar_1966_stamp_of_India.jpg,No Description
A. P. J. Abdul Kalam(1931–2015),images\100px-APJ_Abdul_Kalam_2015_stamp_of_India.jpg,No Description
Vallabhbhai Patel(1875–1950),images\100px-Vallabhbhai_Patel_1975_stamp_of_India.jpg,No Description
Jawaharlal Nehru(1889–1964),images\100px-Stamp_of_India_-_2008_-_Colnect_139933_-_Jawaharlal_Nehru.jpeg,No Description
Mother Teresa (1910–1997),images\100px-Stamp_of_India_-_2016_-_Colnect_661450_-_Mother_Teresa.jpeg,No Description
J. R. D. Tata(1904–1993),images\100px-JRD_Tata_1994_stamp_of_India.jpg,
Indira Gandhi(1917–1984),images\100px-Stamp_of_India_-_2008_-_Colnect_139939_-_Indira_Gandhi.jpeg,No Description
Sachin Tendulkar(b. 1973),images\100px-Sachin_Tendulkar_2013_stamp_of_India.jpg,No Description
Atal Bihari Vajpayee (1924–2018),images\100px-Stamp_of_India_-_2018_-_Colnect_838745_-_Atal_Vajpayee_former_Prime_Minister.jpeg,No Description
Lata Mangeshkar(1929–2022),images\100px-Lata_Mangeshkar.jpg,No Description

